DestinoNombre,DestinoClasificacion,Region,Fuente
Acapulco,PRIMARIO,Mexico,excel_original
Africa,SECUNDARIO,ROW,excel_original
Aguascalientes,SECUNDARIO,Mexico,excel_original
Akron Area,TERCIARIO,,supply_w25
Albania,TERCIARIO,Colombia,excel_original
Albany US,SECUNDARIO,TOP USA,excel_original
Albuquerque Area,TERCIARIO,,supply_w25
Alexandria US,SECUNDARIO,TOP USA,excel_original
Allentown Area,TERCIARIO,,supply_w25
Amarillo US,SECUNDARIO,TOP USA,excel_original
Amazonas,SECUNDARIO,Colombia,excel_original
Anaheim,PRIMARIO,TOP USA,excel_original
Anapoima Area,TERCIARIO,Colombia,excel_original
Apartado Area,TERCIARIO,Colombia,excel_original
Appleton - Lake Winnebago US,SECUNDARIO,TOP USA,excel_original
Argentina,TERCIARIO,LATAM,excel_original
Aruba,SECUNDARIO,Caribe,excel_original
Asheville Area,TERCIARIO,,supply_w25
Asia,SECUNDARIO,ROW,excel_original
Atlanta US,SECUNDARIO,TOP USA,excel_original
Auburn - Opelika US,SECUNDARIO,TOP USA,excel_original
Augusta Area,TERCIARIO,,supply_w25
Austin US,SECUNDARIO,TOP USA,excel_original
Australia,SECUNDARIO,ROW,excel_original
Bacalar,SECUNDARIO,Mexico,excel_original
Bahamas,TERCIARIO,Caribe,excel_original
Baja California,SECUNDARIO,Mexico,excel_original
Bakersfield US,SECUNDARIO,TOP USA,excel_original
Barrancas del Cobre,SECUNDARIO,Mexico,excel_original
Barranquilla Area,SECUNDARIO,Colombia,excel_original
Belice,TERCIARIO,LATAM,excel_original
Bentonville - Fayetteville US,SECUNDARIO,TOP USA,excel_original
Berlin Area,TERCIARIO,,supply_w25
Bermuda,TERCIARIO,Caribe,excel_original
Big Bear Lake US,SECUNDARIO,TOP USA,excel_original
"Birmingham, Alabama US",SECUNDARIO,TOP USA,excel_original
Blacksburg US,SECUNDARIO,TOP USA,excel_original
Bogotá Area,PRIMARIO,Colombia,excel_original
Bolivar Area,TERCIARIO,Colombia,excel_original
Bolivia,TERCIARIO,LATAM,excel_original
Boston US,SECUNDARIO,TOP USA,excel_original
Bowling Green US,SECUNDARIO,TOP USA,excel_original
Boyacá Area,SECUNDARIO,Colombia,excel_original
Brasil,TERCIARIO,LATAM,excel_original
Brenham,SECUNDARIO,TOP USA,excel_original
Brownsville,SECUNDARIO,TOP USA,excel_original
Bucaramanga Area,SECUNDARIO,Colombia,excel_original
Budapest Area,TERCIARIO,,supply_w25
Buffalo,SECUNDARIO,TOP USA,excel_original
Cabo Verde,SECUNDARIO,ROW,excel_original
Calgary Area,TERCIARIO,,supply_w25
Campeche,SECUNDARIO,Mexico,excel_original
Canadá Otras ciudades,SECUNDARIO,Canada,excel_original
Cancún,PRIMARIO,Mexico,excel_original
Cancún Centro,SECUNDARIO,Mexico,excel_original
Cape Canaveral,SECUNDARIO,TOP USA,excel_original
Cartagena Area,PRIMARIO,Colombia,excel_original
Caucasia,TERCIARIO,Colombia,excel_original
Celaya,SECUNDARIO,Mexico,excel_original
Charleston Area,TERCIARIO,,supply_w25
Charlotte Area,TERCIARIO,,supply_w25
Chetumal,SECUNDARIO,Mexico,excel_original
Chetumal Area,SECUNDARIO,Mexico,excel_original
Chiapas,SECUNDARIO,Mexico,excel_original
Chicago,PRIMARIO,TOP USA,excel_original
Chico Area,SECUNDARIO,TOP USA,excel_original
Chihuahua,SECUNDARIO,Mexico,excel_original
Chihuahua alrededores,SECUNDARIO,Mexico,excel_original
Chile,TERCIARIO,LATAM,excel_original
Chillicothe,SECUNDARIO,TOP USA,excel_original
Cincinnati,SECUNDARIO,TOP USA,excel_original
Ciudad Juárez,SECUNDARIO,Mexico,excel_original
Ciudad Obregón,SECUNDARIO,Mexico,excel_original
Ciudad Victoria,SECUNDARIO,Mexico,excel_original
Ciudad de México y Área Metropolitana,PRIMARIO,Mexico,excel_original
Ciudad del Carmen,SECUNDARIO,Mexico,excel_original
Clearwater,SECUNDARIO,TOP USA,excel_original
Cleveland,SECUNDARIO,TOP USA,excel_original
Coahuila,SECUNDARIO,Mexico,excel_original
Colima,SECUNDARIO,Mexico,excel_original
College Station,SECUNDARIO,TOP USA,excel_original
"Columbus, GA",SECUNDARIO,TOP USA,excel_original
"Columbus, NE",SECUNDARIO,TOP USA,excel_original
"Columbus, OH",SECUNDARIO,TOP USA,excel_original
Costa Rica,SECUNDARIO,LATAM,excel_original
Coveñas Area,TERCIARIO,Colombia,excel_original
Covington,SECUNDARIO,TOP USA,excel_original
Cozumel,SECUNDARIO,Mexico,excel_original
Crystal River US,SECUNDARIO,TOP USA,excel_original
Cuba Otras Ciudades,SECUNDARIO,Caribe,excel_original
Cucuta Area,TERCIARIO,Colombia,excel_original
Cuernavaca,SECUNDARIO,Mexico,excel_original
Culiacan,SECUNDARIO,Mexico,excel_original
Curazao,SECUNDARIO,Caribe,excel_original
Dallas US,SECUNDARIO,TOP USA,excel_original
Daytona Beach US,SECUNDARIO,TOP USA,excel_original
Denton US,SECUNDARIO,TOP USA,excel_original
Denver US,SECUNDARIO,TOP USA,excel_original
Des Moines Area,TERCIARIO,,supply_w25
Detroit US,SECUNDARIO,TOP USA,excel_original
Durango,SECUNDARIO,Mexico,excel_original
Düsseldorf Area,TERCIARIO,,supply_w25
Ecuador,TERCIARIO,LATAM,excel_original
Edinburgh Area,TERCIARIO,,supply_w25
Edmonton Area,TERCIARIO,,supply_w25
Eje Cafetero,SECUNDARIO,Colombia,excel_original
El Centro Area,SECUNDARIO,TOP USA,excel_original
El Paso,SECUNDARIO,TOP USA,excel_original
El Salvador,TERCIARIO,LATAM,excel_original
España,SECUNDARIO,Europa,excel_original
Essen Area,TERCIARIO,,supply_w25
Estado de México,SECUNDARIO,Mexico,excel_original
Estados Unidos otras Ciudades,SECUNDARIO,TOP USA,excel_original
Europa,SECUNDARIO,Europa,excel_original
Florida US,SECUNDARIO,TOP USA,excel_original
Fort Collins Area,TERCIARIO,,supply_w25
Fort Lauderdale US,SECUNDARIO,TOP USA,excel_original
Fort Myers US,SECUNDARIO,TOP USA,excel_original
Fort Worth US,SECUNDARIO,TOP USA,excel_original
